APMC,Commodity,combination_label,date,modal_price,quarter,deseasonalise_price
Rahata,bottle gourd,Rahata:bottle gourd,2016-10-01,550.0,4,478.5
Rahata,bottle gourd,Rahata:bottle gourd,2016-11-01,627.0,4,555.5
Rahata,carrot,Rahata:carrot,2014-09-01,1750.0,3,1767.8333333333333
Rahata,carrot,Rahata:carrot,2014-10-01,1500.0,4,1590.625
Rahata,carrot,Rahata:carrot,2014-11-01,1417.0,4,1507.625
Rahata,carrot,Rahata:carrot,2014-12-01,1382.0,4,1472.625
Rahata,carrot,Rahata:carrot,2015-01-01,1290.0,1,1405.9166666666667
Rahata,carrot,Rahata:carrot,2015-02-01,1209.0,1,1324.9166666666667
Rahata,carrot,Rahata:carrot,2015-03-01,1078.0,1,1193.9166666666667
Rahata,carrot,Rahata:carrot,2015-04-01,1650.0,2,1430.8333333333333
Rahata,carrot,Rahata:carrot,2015-05-01,1600.0,2,1380.8333333333333
Rahata,carrot,Rahata:carrot,2015-06-01,1929.0,2,1709.8333333333333
Rahata,carrot,Rahata:carrot,2015-07-01,2625.0,3,2642.8333333333335
Rahata,carrot,Rahata:carrot,2015-08-01,3045.0,3,3062.8333333333335
Rahata,carrot,Rahata:carrot,2015-09-01,2436.0,3,2453.8333333333335
Rahata,carrot,Rahata:carrot,2015-10-01,2578.0,4,2668.625
Rahata,carrot,Rahata:carrot,2015-11-01,2000.0,4,2090.625
Rahata,carrot,Rahata:carrot,2015-12-01,2154.0,4,2244.625
Rahata,carrot,Rahata:carrot,2016-01-01,1436.0,1,1551.9166666666667
Rahata,carrot,Rahata:carrot,2016-02-01,1018.0,1,1133.9166666666667
Rahata,carrot,Rahata:carrot,2016-03-01,1067.0,1,1182.9166666666667
Rahata,carrot,Rahata:carrot,2016-04-01,1327.0,2,1107.8333333333333
Rahata,carrot,Rahata:carrot,2016-05-01,1629.0,2,1409.8333333333333
Rahata,carrot,Rahata:carrot,2016-06-01,2846.0,2,2626.8333333333335
